id,host_id,host_response_time,host_response_rate,neighbourhood_cleansed,city,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,price,weekly_price,monthly_price,cleaning_fee,guests_included,minimum_nights,maximum_nights,number_of_reviews,number_of_reviews_ltm,last_review,review_scores_rating,reviews_per_month
2818,3159,within an hour,1,Oostelijk Havengebied - Indische Buurt,Amsterdam,,52.36575,4.94142,Apartment,Private room,2,1.5,1,2,Real Bed,"{Internet,Wifi,""Paid parking off premises"",""Buzzer/wireless intercom"",Heating,Washer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Private entrance"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Single level home"",""Garden or backyard"",""Step-free access"",""Flat path to front door"",""Well-lit path to entrance"",""Step-free access"",""Accessible-height bed"",""Step-free access"",""Host greets you"",""Handheld shower head"",""Paid parking on premises""}",59,,1500,60,1,3,15,250,31,43467,97,2.07
20168,59484,within a few hours,1,Centrum-Oost,Amsterdam,1017,52.36509,4.89354,Townhouse,Entire home/apt,2,1,1,1,Real Bed,"{TV,Internet,Wifi,""Paid parking off premises"",Heating,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Hot water"",""Bed linens"",""Long term stays allowed"",""Host greets you""}",80,,,,2,1,1000,251,57,43520,87,2.29
25428,56142,within an hour,1,Centrum-West,Amsterdam,1016,52.37311,4.88367,Apartment,Entire home/apt,3,1,1,1,Real Bed,"{TV,""Cable TV"",Internet,Wifi,Kitchen,Elevator,""Indoor fireplace"",""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Fire extinguisher"",Essentials,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}",125,650,2000,40,2,14,60,2,1,43512,100,0.15
27886,97647,within an hour,1,Centrum-West,Amsterdam,1013,52.38673,4.89208,Houseboat,Private room,2,1,1,1,Real Bed,"{TV,Internet,Wifi,Breakfast,Heating,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Self check-in"",""Smart lock"",""Private living room"",""Private entrance"",""Lake access""}",150,810,2500,0,1,2,730,180,46,43528,99,2.07
28658,123414,within an hour,1,Bos en Lommer,Amsterdam,1056,52.37534,4.85729,Apartment,Private room,2,1,1,2,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Paid parking off premises"",Breakfast,""Pets live on this property"",Cat(s),Heating,Washer,Dryer,""Smoke detector"",""First aid kit"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Hot water"",""Bed linens"",""Host greets you""}",65,,,15,2,3,15,444,61,43513,93,4.14
28871,124245,within an hour,1,Centrum-West,Amsterdam,1017,52.36719,4.89092,Apartment,Private room,2,,1,1,Real Bed,"{Internet,Wifi,""Pets live on this property"",Cat(s),Heating,Washer,Dryer,""Smoke detector"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",""Private entrance"",""Hot water"",""Host greets you""}",75,499,1956,,1,2,1825,240,101,43526,97,2.31
29051,124245,within an hour,1,Centrum-West,Amsterdam,1017,52.36773,4.89151,Apartment,Private room,1,1,1,1,Real Bed,"{Internet,Wifi,""Smoking allowed"",""Pets allowed"",Heating,Washer,Dryer,""Smoke detector"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",""Hair dryer"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Private entrance"",""Hot water"",""Host greets you""}",55,350,1435,,1,2,730,397,78,43513,95,4.09
31080,133488,a few days or more,0,Zuid,Amsterdam,1059,52.35132,4.84838,Apartment,Entire home/apt,4,1,3,3,Real Bed,"{TV,""Cable TV"",Internet,Wifi,Kitchen,""Buzzer/wireless intercom"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Patio or balcony"",""Host greets you""}",219,1400,4000,60,4,3,365,32,0,43024,95,0.35
38266,164204,within an hour,1,Centrum-West,Amsterdam,1015PB,52.37565,4.87969,Apartment,Entire home/apt,2,1,1,1,Futon,"{Internet,Wifi,Kitchen,""Buzzer/wireless intercom"",Heating,Washer,Dryer,Essentials,Shampoo,Hangers,Iron,""Laptop friendly workspace"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove}",145,,,0,2,3,10,198,0,42221,99,1.89
41125,178515,within an hour,1,Centrum-West,Amsterdam,1015,52.37891,4.88321,Apartment,Entire home/apt,2,0,1,1,Real Bed,"{TV,""Cable TV"",Internet,Wifi,Kitchen,""Paid parking off premises"",""Buzzer/wireless intercom"",Heating,Washer,Dryer,""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Self check-in"",Keypad,""Hot water"",""Bed linens"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",""Patio or balcony"",""Luggage dropoff allowed""}",180,650,1600,40,2,5,35,77,8,43469,95,0.76
42970,187580,within an hour,1,Centrum-West,Amsterdam,1012,52.36781,4.89001,Bed and breakfast,Private room,2,1,1,1,Real Bed,"{TV,""Cable TV"",Internet,Wifi,Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""Private entrance"",""Baby bath""}",159,,3000,35,1,3,1100,437,40,43520,98,4.22
43109,188098,within an hour,1,Centrum-West,Amsterdam,1016 AA,52.37537,4.88932,Apartment,Entire home/apt,4,1,2,4,Real Bed,"{TV,""Cable TV"",Internet,Wifi,Kitchen,""Smoking allowed"",""Pets allowed"",""Hot tub"",""Indoor fireplace"",""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",Washer,Dryer}",210,2100,4500,35,2,13,14,56,4,43263,96,0.54
43980,65041,within a few hours,1,Zuid,Amsterdam,1054,52.35746,4.86124,Apartment,Entire home/apt,2,1,1,2,Real Bed,"{TV,Internet,Wifi,Kitchen,""Paid parking off premises"",""Pets allowed"",Heating,Washer,Dryer,Essentials,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Private entrance"",Bathtub,""Babysitter recommendations"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Patio or balcony"",""Beach essentials"",""Long term stays allowed"",""Cleaning before checkout"",""Accessible-height bed"",""Host greets you"",""Handheld shower head""}",100,680,1250,50,4,28,365,61,0,43149,80,0.6
44129,187728,within a day,1,Centrum-West,Amsterdam,1015 JJ,52.38071,4.8861,Apartment,Entire home/apt,3,1.5,1,1,Real Bed,"{TV,""Cable TV"",Internet,Wifi,Kitchen,""Paid parking off premises"",""Pets allowed"",""Indoor fireplace"",""Buzzer/wireless intercom"",Heating,Washer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Self check-in"",Lockbox,""High chair"",Crib,""Hot water""}",250,,,60,2,2,1125,176,10,43374,98,1.69
44391,194779,within an hour,1,Centrum-Oost,Amsterdam,1018 LX,52.37017,4.91438,Apartment,Entire home/apt,4,1,2,3,Real Bed,"{TV,""Cable TV"",Internet,Wifi,Kitchen,""Buzzer/wireless intercom"",Heating,Washer,""Smoke detector"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Private entrance"",""Hot water"",""Bed linens"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Patio or balcony"",""Host greets you"",""Paid parking on premises""}",200,,,50,2,5,730,31,9,43422,94,0.3
