id,category
10083,cheetah
10295,hyena
10348,hyena
1062,jaguar
10714,hyena
1076,hyena
1087,jaguar
11045,hyena
11068,cheetah
11139,jaguar
11232,cheetah
11411,cheetah
11481,cheetah
11781,hyena
11832,cheetah
1189,hyena
11942,jaguar
11962,hyena
11976,hyena
12167,hyena
12292,hyena
1262,hyena
13833,hyena
13854,cheetah
1407,hyena
14406,hyena
14417,hyena
14610,cheetah
14845,hyena
15115,cheetah
15423,hyena
15635,hyena
15694,hyena
15752,hyena
15762,hyena
15954,jaguar
16128,hyena
16158,hyena
16509,cheetah
1937,hyena
2034,hyena
2115,hyena
2223,cheetah
2276,cheetah
2413,cheetah
2443,cheetah
2656,cheetah
2954,cheetah
3219,cheetah
3225,hyena
3281,hyena
3522,cheetah
3613,cheetah
3735,hyena
3799,cheetah
3852,hyena
3958,cheetah
4097,cheetah
412,hyena
4169,cheetah
4215,hyena
4370,hyena
4482,cheetah
458,hyena
509,hyena
5118,hyena
5350,hyena
5582,hyena
5759,jaguar
5834,hyena
5957,cheetah
6091,cheetah
6189,tiger
6309,hyena
6312,hyena
6329,hyena
6424,cheetah
6450,cheetah
6479,cheetah
6558,cheetah
6666,hyena
6743,cheetah
6876,hyena
7009,cheetah
7342,jaguar
7742,cheetah
7863,hyena
7925,cheetah
8079,hyena
8129,hyena
8349,hyena
8595,hyena
8687,hyena
8698,tiger
8966,cheetah
8986,cheetah
9042,cheetah
938,hyena
9682,hyena
9967,cheetah
